"data";"ARGENT.CDS.USD.SR.5Y.D14.Corp";"BGARIA.CDS.USD.SR.5Y.D14.Corp";"BRAZIL.CDS.USD.SR.5Y.D14.Corp";"BTUN.CDS.USD.SR.5Y.D14.Corp";"CHILE.CDS.USD.SR.5Y.D14.Corp";"COLOM.CDS.USD.SR.5Y.D14.Corp";"CROATB.CDS.USD.SR.5Y.D14.Corp";"CZECH.CDS.USD.SR.5Y.D14.Corp";"GREECE.CDS.USD.SR.5Y.D14.Corp";"HUNGARY.CDS.USD.SR.5Y.D14.Corp";"ICELND.CDS.USD.SR.5Y.D14.Corp";"INDIA.CDS.USD.SR.5Y.D14.Corp";"INDON.CDS.USD.SR.5Y.D14.Corp";"IRELND.CDS.USD.SR.5Y.D14.Corp";"KOREA.CDS.USD.SR.5Y.D14.Corp";"MALAYS.CDS.USD.SR.5Y.D14.Corp";"MEX.CDS.USD.SR.5Y.D14.Corp";"MOROC.CDS.USD.SR.5Y.D14.Corp";"PERU.CDS.USD.SR.5Y.D14.Corp";"PHILIP.CDS.USD.SR.5Y.D14.Corp";"POLAND.CDS.USD.SR.5Y.D14.Corp";"REPSOU.CDS.USD.SR.5Y.D14.Corp";"RUSSIA.CDS.USD.SR.5Y.D14.Corp";"SLOVEN.CDS.USD.SR.5Y.D14.Corp";"THAI.CDS.USD.SR.5Y.D14.Corp";"TURKEY.CDS.USD.SR.5Y.D14.Corp";"VIETNM.CDS.USD.SR.5Y.D14.Corp"
2020-04-01;NA;NA;337,941;NA;149,945;254,767;NA;NA;NA;NA;NA;NA;235,077;44,455;42,182;128,14;272,634;NA;133,98;113,87;NA;460,682;NA;NA;90,691;NA;NA
2020-04-02;NA;NA;335,837;NA;150,848;261,364;NA;NA;NA;NA;NA;NA;250,413;42,922;43,487;128,422;270,583;NA;135,728;113,946;NA;483,85;NA;NA;91,746;NA;NA
2020-04-03;NA;NA;353,395;NA;159,14;265,969;NA;NA;NA;NA;NA;NA;257,986;44,184;42,806;132,842;277,986;NA;138,321;120,191;NA;497,124;NA;NA;93,98;NA;NA
2020-04-06;NA;NA;345,217;NA;153,064;252,85;NA;NA;NA;NA;NA;NA;249,38;43,535;38,143;118,747;271,413;NA;137,423;106,337;NA;493,699;NA;NA;90,874;NA;NA
2020-04-07;NA;NA;318,279;NA;145,155;245,581;NA;NA;NA;NA;NA;NA;236,615;41,185;36,828;112,597;268,165;NA;130,022;99,684;NA;447,554;NA;NA;NA;NA;NA
2020-04-08;NA;NA;295,967;NA;134,97;240,882;NA;NA;NA;NA;NA;NA;232,631;43,139;34,221;112,45;261,22;NA;121,96;99,578;NA;435,154;NA;NA;85,541;NA;NA
2020-04-09;NA;NA;267,666;NA;118,353;222,674;NA;NA;NA;NA;NA;NA;218,162;41,626;32,886;102,851;228,336;NA;106,86;89,007;NA;385,526;NA;NA;79,071;NA;NA
2020-04-10;NA;NA;265,943;NA;114,527;216,472;NA;NA;NA;NA;NA;NA;NA;42,303;NA;108,678;227,253;NA;104,751;96,056;NA;NA;NA;NA;NA;NA;NA
2020-04-13;NA;NA;264,194;NA;104,873;220,854;NA;NA;NA;NA;NA;NA;214,041;42,73;32,818;97,165;225,011;NA;101,566;83,238;NA;NA;NA;NA;62,801;NA;NA
2020-04-14;NA;NA;265,052;NA;100,349;222,769;NA;NA;NA;NA;NA;NA;205,537;42,455;32,751;91,697;225,212;NA;101,038;78,412;NA;367,823;NA;NA;60,136;NA;NA
2020-04-15;NA;NA;292,538;NA;105,784;241,768;NA;NA;NA;NA;NA;NA;212,751;44,854;33,716;100,412;262,948;NA;105,275;85,034;NA;403,887;NA;NA;60,853;NA;NA
2020-04-16;NA;NA;295,251;NA;112,979;251,591;NA;NA;NA;NA;NA;NA;201,407;42,735;30,488;101,596;271,264;NA;112,715;85,664;NA;407,838;NA;NA;69,886;NA;NA
2020-04-17;NA;NA;290,538;NA;111,265;246,808;NA;NA;NA;NA;NA;NA;196,051;43,897;31,305;102,189;269,681;NA;114,388;82,847;NA;399,787;NA;NA;67,069;NA;NA
2020-04-20;NA;NA;294,613;NA;114,512;252,716;NA;NA;NA;NA;NA;NA;203,945;44,027;31,994;104,546;277,742;NA;114,959;82,738;NA;403,762;NA;NA;68,129;NA;NA
2020-04-21;NA;NA;315,494;NA;121,228;267,975;NA;NA;NA;NA;NA;NA;217,096;46,246;35,057;112,502;292,186;NA;119,775;88,972;NA;428,368;190,849;NA;71,607;635,394;NA
2020-04-22;NA;NA;322,291;NA;118,963;268,942;NA;NA;NA;NA;NA;NA;232,895;46,937;36,296;119,337;290,873;NA;119,931;89,439;NA;424,17;185,457;NA;72,188;630,158;NA
2020-04-23;NA;NA;329,895;NA;118,746;264,358;NA;NA;NA;NA;NA;NA;225,265;45,156;36,813;118,425;290,375;NA;119,68;86,988;NA;422,599;180,025;NA;70,91;619,845;NA
2020-04-24;NA;NA;368,467;NA;120,463;268,523;NA;NA;NA;NA;NA;NA;224,681;44,982;37,392;119,086;299,862;NA;120,83;87,386;NA;423,986;180,586;NA;70,979;611,409;NA
